FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Pascal;Loos;Pascal Loos - Manager;142;+49 (0) 4002 040557;(00932) 88024;Administrator;HR;karl-ludwig43@gmx.de;02.09.2025;Yes;Gabriele Stroh;Heimo Stoll;False;Marketing-Team
Justina;Bloch;Justina Bloch - Techniker;938;+49 (0) 9611 167395;+49(0)1882943367;Administrator;IT;annettweimer@googlemail.com;23.12.2025;No;Franziska Zobel;Klaus-Günter Holzapfel;False;IT-Admins
Mariele;Schomber;Mariele Schomber - Administrator;307;+49(0) 757100014;+49(0)0203698476;Techniker;Finanzen;fchristoph@barkholz.org;18.09.2025;No;Cynthia Henschel;Hella Binner;True;Marketing-Team
Lilly;Werner;Lilly Werner - Entwickler;131;+49(0) 957676371;(07554) 79576;Manager;Vertrieb;qstriebitz@noack.com;23.07.2025;No;Maurice Austermühle;Betty Drubin;False;Marketing-Team
Tatjana;Steckel;Tatjana Steckel - Entwickler;224;(00671) 801077;(09262) 65568;Entwickler;Marketing;ttroest@paertzelt.de;26.06.2025;Yes;Mathias Löwer;Gerold Textor;False;Sales-Group
Samuel;Segebahn;Samuel Segebahn - Techniker;935;+49(0) 288243725;+49 (0) 9992 239162;Support;HR;linkekaspar@web.de;03.01.2026;Yes;Inna Metz;Danuta Ditschlerin;False;IT-Admins
Karolin;Seifert;Karolin Seifert - Entwickler;780;(00940) 31937;04738330528;Administrator;IT;bkambs@web.de;12.07.2025;Yes;Alex Dippel;Luis Mielcarek;True;HR-Team
Stephan;Rose;Stephan Rose - Manager;856;04800603757;06596 911773;Support;HR;heinz-josef86@langern.de;26.07.2025;Yes;Jochem Söding;Horst Bärer;False;Marketing-Team
Katalin;van der Dussen;Katalin van der Dussen - Techniker;753;(06455) 70370;06056 73094;Techniker;HR;lorchyilmaz@hotmail.de;27.01.2026;No;Bernhardine Haase;Yvonne Renner;False;IT-Admins
Dagmar;Eberhardt;Dagmar Eberhardt - Support;683;(01689) 441280;+49(0)0198275851;Techniker;Finanzen;zirmevolkhard@flantz.org;28.11.2025;No;Diedrich Hornich;Suzanne Hertrampf;False;Domain Users
