FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Urte;Neureuther;Urte Neureuther - Administrator;108;+49(0)3988142108;+49(0)3340 316518;Support;Finanzen;skruschwitz@trubin.org;05.10.2025;Yes;Cengiz Bähr;Imelda Drewes;True;IT-Admins
Katarzyna;Langern;Katarzyna Langern - Techniker;392;02315 530193;+49(0)3223 42661;Support;Vertrieb;adelbert89@yahoo.de;22.12.2025;Yes;Stavros Weihmann;Lieschen Huhn;True;IT-Admins
Karl-Hermann;Dehmel;Karl-Hermann Dehmel - Support;824;+49(0)2596 16109;01848603532;Administrator;Finanzen;marlis62@aol.de;13.10.2025;Yes;Nadia Reuter;Cemal Barth;False;Domain Users
Anne-Katrin;Bien;Anne-Katrin Bien - Administrator;175;0972019562;+49(0)3956 353802;Entwickler;Marketing;hans25@googlemail.com;10.09.2025;Yes;Kirsten Gotthard;Ortwin Lorch;True;HR-Team
Jürgen;Sölzer;Jürgen Sölzer - Techniker;510;+49(0)9323601631;08883 96600;Support;IT;heinfriedullrich@mohaupt.de;05.02.2026;No;Gilda Hartung;Edmund Anders;True;Marketing-Team
Carlo;Dörschner;Carlo Dörschner - Administrator;563;0860991772;+49(0)9419 862466;Techniker;Finanzen;heinz-willi38@hauffer.de;14.11.2025;No;Geraldine Hamann;Till Barth;True;Domain Users
Henryk;Mohaupt;Henryk Mohaupt - Techniker;679;06185498948;+49(0) 606864981;Manager;Vertrieb;justinemetz@schwital.org;02.02.2026;Yes;Grete Scholl;Josefine Barkholz;True;HR-Team
Adolfine;Rosenow;Adolfine Rosenow - Administrator;868;06979820301;04169547549;Administrator;Vertrieb;wenkeschuster@rudolph.com;20.08.2025;Yes;Aribert Zirme;Gerdi Adler;False;HR-Team
Emmy;Hethur;Emmy Hethur - Support;152;06737 463818;(07247) 31488;Administrator;Marketing;veitbeier@ring.de;30.09.2025;No;Vitali Peukert;Emma Speer;False;IT-Admins
Philippe;Junck;Philippe Junck - Manager;839;+49(0)8295 00953;+49(0)9880 154982;Manager;Finanzen;schaaffriedbert@schaaf.com;30.12.2025;No;Kreszenz Fechner;George Weinhold;True;Domain Users
