FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Hans-Helmut;Dobes;Hans-Helmut Dobes - Techniker;715;07546 057826;(07587) 572764;Support;HR;auch-schlauchintomasz@gude.org;30.11.2025;Yes;Klaus-Dieter Barth;Murat Steinberg;False;IT-Admins
Elenore;Hendriks;Elenore Hendriks - Techniker;602;+49(0) 647954641;+49(0) 160960002;Manager;Marketing;stiebitzbekir@web.de;14.10.2025;Yes;Martina Pieper;Aurelia Jäntsch;False;HR-Team
Dorina;Gierschner;Dorina Gierschner - Techniker;209;0479879169;+49(0)9639 604089;Support;IT;babettebaum@hotmail.de;29.10.2025;Yes;Ljubica Schweitzer;Kriemhild Stumpf;False;Domain Users
Traute;Junck;Traute Junck - Administrator;863;(08971) 16377;+49(0) 803420607;Entwickler;Marketing;karl-ernst01@yahoo.de;29.11.2025;No;Bogdan Kensy;Hans D. Scholtz;False;Domain Users
Fritz;Metz;Fritz Metz - Administrator;501;+49 (0) 7695 500221;(02459) 02585;Techniker;IT;ernst-august56@hartmann.net;02.07.2025;No;Bruno Schwital;Sigmar Hiller;True;HR-Team
Giovanni;Vogt;Giovanni Vogt - Administrator;363;(01955) 75543;(07041) 698474;Support;IT;klaus-juergen90@hotmail.de;18.08.2025;No;Heinz-Jürgen Kohl;Timo Klemt;False;IT-Admins
Jeanette;Wagenknecht;Jeanette Wagenknecht - Administrator;603;06977 581932;+49(0)9889 629424;Administrator;HR;eleonorekoehler@harloff.org;31.03.2026;No;Ali Höfig;Tadeusz Ritter;True;HR-Team
Dana;Gieß;Dana Gieß - Manager;781;(04658) 41689;03376367397;Entwickler;IT;berntpechel@zorbach.net;12.11.2025;No;Lorenz Junitz;Frederik Ziegert;False;HR-Team
Janett;Faust;Janett Faust - Administrator;611;+49(0)3411 17281;+49(0)8159 78519;Manager;Finanzen;xalbers@eckbauer.de;22.01.2026;Yes;Margit Rogge;Arndt Hahn;True;Domain Users
Cläre;Weinhage;Cläre Weinhage - Administrator;417;+49(0)1323 86025;08505 967177;Manager;HR;soelzertomislav@walter.de;04.09.2025;No;Adriane Schüler;Katrin Bonbach;True;IT-Admins
