FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Valentin;Reichmann;Valentin Reichmann - Support;829;+49(0)1232 200518;(08664) 176944;Administrator;Finanzen;fritzschwital@eckbauer.de;06.10.2025;No;Engin Lehmann;Valeri Harloff;True;Sales-Group
Mahmut;Stumpf;Mahmut Stumpf - Manager;383;0621218201;09726 54782;Administrator;HR;sebastiano24@kranz.com;22.12.2025;Yes;Frithjof Hartmann;Francesco Karz;True;Domain Users
Horst;Wilmsen;Horst Wilmsen - Techniker;503;(08366) 043186;05918 19490;Administrator;HR;patricia00@tintzmann.de;01.08.2025;Yes;Achim Ortmann;Sigurd Kade;False;Domain Users
Hedwig;Dobes;Hedwig Dobes - Support;402;04267 95048;(05261) 426481;Techniker;IT;niklas18@koch.de;24.01.2026;Yes;Sigismund Blümel;Hanife Aumann;False;HR-Team
Michel;Ullmann;Michel Ullmann - Support;302;0223135763;+49(0)2182 628420;Administrator;Finanzen;fernandoweinhage@web.de;01.10.2025;Yes;Margarethe Wagner;Lore Kroker;True;HR-Team
Albert;Kraushaar;Albert Kraushaar - Techniker;407;(05965) 18486;+49(0)6151009720;Support;IT;mrohleder@schaefer.com;04.02.2026;No;Rosemarie Dehmel;Dittmar Anders;False;Sales-Group
Luzia;Börner;Luzia Börner - Entwickler;185;+49(0)4062776272;+49(0)7700 892984;Manager;Vertrieb;susannwinkler@yahoo.de;21.03.2026;No;Wojciech Tlustek;Doreen Hauffer;True;Sales-Group
Camilla;Heuser;Camilla Heuser - Support;812;+49(0)5613 82628;+49(0)2501 833283;Manager;Marketing;froehlichgabriela@noack.com;23.11.2025;No;Roger Drewes;Carl Bolzmann;False;HR-Team
Annett;Hesse;Annett Hesse - Support;333;0896853236;+49(0)4592 365184;Administrator;IT;dweimer@fritsch.de;13.08.2025;Yes;Egon Metz;Heinz Siering;False;HR-Team
Liesbeth;Klemm;Liesbeth Klemm - Techniker;741;+49(0) 126713339;+49(0)6876 858254;Support;Marketing;hoevelsebastiano@gmail.com;26.09.2025;Yes;Gesine Hauffer;Christof Wernecke;True;Domain Users
