FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Ulf;Schenk;Ulf Schenk - Techniker;173;06664 66345;06534 686893;Manager;IT;kenneth32@gmx.de;12.12.2025;Yes;Ilse auch Schlauchin;Kilian Rogge;True;HR-Team
Veronika;Bolnbach;Veronika Bolnbach - Manager;396;+49(0)7023 72082;08437 874260;Techniker;Marketing;fechnergertraut@hotmail.de;10.10.2025;Yes;Serpil Wilmsen;Andrzej Ditschlerin;True;HR-Team
Hedda;Metz;Hedda Metz - Entwickler;948;0670028819;08016804808;Support;IT;scheeljeannette@stoll.com;20.06.2025;Yes;Linda Ruppersberger;Elizabeth Döring;False;Marketing-Team
Joana;Zahn;Joana Zahn - Entwickler;678;+49(0) 026168728;(06141) 67215;Manager;Marketing;zoltanjessel@hornich.com;21.08.2025;No;Heidelore Wagner;Katerina Ritter;True;Sales-Group
Margita;Buchholz;Margita Buchholz - Entwickler;529;01269049158;+49 (0) 4716 253920;Entwickler;IT;qhermann@web.de;19.08.2025;Yes;Herlinde Mosemann;Magarete Barkholz;True;Domain Users
Selim;Franke;Selim Franke - Manager;834;+49(0)3020 763337;+49(0) 699862259;Techniker;IT;bolnbachklaus-michael@holsten.de;11.01.2026;Yes;Claus Reuter;Wolf-Rüdiger Sauer;True;Domain Users
Cäcilia;Schmidt;Cäcilia Schmidt - Techniker;578;+49 (0) 8216 160548;06607 93248;Support;IT;corinne95@loewer.de;15.10.2025;Yes;Diether Schleich;Geert Harloff;True;Sales-Group
Robin;Hornig;Robin Hornig - Support;716;04796 744701;+49(0) 728012592;Administrator;HR;karl-josef12@googlemail.com;13.01.2026;No;Lore Stolze;Teresa Hahn;False;Sales-Group
Ioannis;Hande;Ioannis Hande - Manager;751;+49 (0) 8596 317071;03515 40209;Support;Vertrieb;silke77@web.de;17.08.2025;Yes;Julian Bohlander;Hans-Günther Stiebitz;True;IT-Admins
Salih;Jessel;Salih Jessel - Manager;288;+49(0)5456 35507;+49(0)7161 031529;Entwickler;Marketing;nbluemel@aol.de;11.08.2025;Yes;Hartmuth Kambs;Andrzej Söding;True;Sales-Group
