FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Sieglinde;Preiß;Sieglinde Preiß - Entwickler;625;+49(0)8701 764906;+49(0)7301 199502;Techniker;Vertrieb;nhermann@web.de;19.06.2025;No;Ole Buchholz;Gotthilf Ruppert;True;IT-Admins
Rosa;Hiller;Rosa Hiller - Manager;372;+49 (0) 9441 175031;08129 072682;Entwickler;IT;elenore03@gmail.com;14.12.2025;Yes;Sükrü Weller;Klaus Peter Kostolzin;True;IT-Admins
Stefano;Scheel;Stefano Scheel - Entwickler;914;0647649859;+49 (0) 5143 287160;Manager;Vertrieb;gesabolnbach@aol.de;01.06.2025;Yes;Abdul Reising;Stephanie Patberg;True;Sales-Group
Margita;Hettner;Margita Hettner - Administrator;644;+49(0)0073 975339;01407 03300;Administrator;Finanzen;ruppertwally@gmx.de;24.10.2025;No;Catrin Boucsein;Sönke Pergande;True;Marketing-Team
Arnold;Beier;Arnold Beier - Techniker;857;(03394) 15070;03050 207499;Administrator;IT;truebtuerkan@hotmail.de;12.06.2025;No;Esther Margraf;Necati Hübel;False;Domain Users
Vlado;Lachmann;Vlado Lachmann - Entwickler;516;+49(0)3406 644540;+49(0)9640 05471;Entwickler;Marketing;eckbauerpaulina@googlemail.com;24.07.2025;Yes;Mareile Döhn;Melita Rosemann;False;Domain Users
Vito;Bonbach;Vito Bonbach - Techniker;567;+49(0) 529067166;+49(0)2437 85566;Manager;Finanzen;losekannkarl-peter@wilmsen.org;14.10.2025;Yes;Hans-Jürgen Oestrovsky;Gudrun Liebelt;False;IT-Admins
Tim;Ziegert;Tim Ziegert - Entwickler;552;+49(0)3450122462;02066 61526;Administrator;Marketing;ludmila83@web.de;10.09.2025;Yes;Bartholomäus Nerger;Katharina Lindau;False;Domain Users
Eugen;Stadelmann;Eugen Stadelmann - Administrator;789;+49(0) 624070420;+49 (0) 0609 039769;Support;HR;ojacob@aol.de;02.07.2025;Yes;Pius Söding;Betina Briemer;False;IT-Admins
Ulrich;Bähr;Ulrich Bähr - Techniker;691;05967674939;+49(0)0055 04934;Entwickler;IT;stevenfranke@gmail.com;07.02.2026;No;Franz-Peter Schäfer;Änne Gorlitz;True;HR-Team
