FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Virginia;Reuter;Virginia Reuter - Entwickler;175;+49 (0) 4810 124599;03043 868968;Techniker;Finanzen;creising@web.de;17.11.2025;No;Silvia Radisch;Kristiane Lübs;True;Marketing-Team
Annett;Schulz;Annett Schulz - Entwickler;709;02964 505125;+49(0) 791897388;Support;Vertrieb;wilmskarolin@trub.de;30.06.2025;Yes;Zeki Schinke;Milos Beier;True;Domain Users
Denny;Kabus;Denny Kabus - Manager;344;00489 39935;0057888784;Administrator;Marketing;ana36@web.de;06.02.2026;No;Mustafa Kaul;Yvonne Lindau;True;HR-Team
Antonina;Meyer;Antonina Meyer - Techniker;618;+49(0)9807948934;+49(0)1261 420350;Support;HR;markusbriemer@gmail.com;17.03.2026;Yes;Marta Heser;Mato Harloff;True;Domain Users
Janette;Mies;Janette Mies - Techniker;719;+49(0)0447834913;05912 93760;Techniker;HR;dsegebahn@yahoo.de;05.10.2025;No;Aleksej Sager;Ivan Ruppersberger;False;IT-Admins
Britta;Mosemann;Britta Mosemann - Support;323;+49(0)7782 19495;(08140) 440802;Techniker;HR;eddakabus@googlemail.com;12.02.2026;Yes;Kathi Zimmer;Renate Häring;False;Marketing-Team
Vitali;Mentzel;Vitali Mentzel - Entwickler;414;09559 61755;+49(0)9719 407819;Entwickler;Finanzen;vittorio34@aol.de;20.01.2026;Yes;Sigmund Jessel;Hanna Zirme;False;Domain Users
Susana;Gutknecht;Susana Gutknecht - Techniker;321;+49(0) 400725894;+49(0)9078 05615;Administrator;Vertrieb;qdowerg@hoffmann.com;15.02.2026;Yes;Annelise Killer;Walburga Hauffer;False;Domain Users
Andre;Schomber;Andre Schomber - Administrator;918;0340269801;+49(0) 382701927;Administrator;HR;jacobjennifer@gmail.com;27.12.2025;No;Fedor Freudenberger;Heidemarie Wirth;True;IT-Admins
Mesut;Jessel;Mesut Jessel - Entwickler;247;+49(0) 689541596;+49(0)3472714829;Techniker;HR;angeliquebohnbach@gmx.de;07.05.2025;No;Franziska Thanel;Alwin Dehmel;True;Domain Users
